Data,Descrição,Valor (R$)
03/12/24,HNA*EUDORA - Parcela 4/7,15.7
25/02/25,PRIMATO,4.44
27/02/25,PEDRO GIORDANI REFEICOE,3.5
27/02/25,IFD*ALIANCA EMPORIO GASTR,29.99
28/02/25,CORREIOS CEL*CORREIOS,25.0
28/02/25,PRIMATO,22.55
01/03/25,UBER* PENDING,9.95
01/03/25,EBN*SPOTIFY,21.9
05/03/25,PRIMATO,18.88
06/03/25,PRIMATO,9.0
06/03/25,PRIMATO,2.19
06/03/25,PEDRO GIORDANI REFEICOE,3.5
06/03/25,568 REFEICOES,4.0
07/03/25,UBER* PENDING,11.33
07/03/25,PEDRO GIORDANI REFEICOE,7.0
09/03/25,AMIGAO TOLEDO,18.99
10/03/25,PEDRO GIORDANI REFEICOE,3.5
11/03/25,PEDRO GIORDANI REFEICOE,7.0
11/03/25,PRIMATO,31.57
13/03/25,PEDRO GIORDANI REFEICOE,14.0
15/03/25,LAFEMMETOLED,11.0
15/03/25,MORBEH SUPERMERCADOS L,2.69
17/03/25,REAL MIX,10.49
18/03/25,UBER* PENDING,11.91
19/03/25,PRIMATO,1.29
20/03/25,MORBEH SUPERMERCADOS L,8.59
20/03/25,LAFEMMETOLED,4.25
21/03/25,MORBEH SUPERMERCADOS L,12.85
23/03/25,PRIMATO,1.29
24/03/25,PEDRO GIORDANI REFEICOE,3.5
25/03/25,568 REFEICOES,3.5
25/03/25,PRIMATO TOLEDO PANCERA,13.98
